# Data source: Coming soon
# Data provenance: Coming soon
# License: Coming soon
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	0	0			
2020-03-21	0	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	10	0			
2020-03-26	14	0			
2020-03-27	18	0			
2020-03-28	20	0			
2020-03-29	22	0			
2020-03-30	23	0			
2020-03-31	32	0			
2020-04-01	35	0			
2020-04-02	41	0			
2020-04-03	42	0			
2020-04-04	49	0			
2020-04-05	53	0			
2020-04-06	56	0			
2020-04-07	62	0			
2020-04-08	70	0			
2020-04-09	74	0			
2020-04-10	77	0			
2020-04-11	78	0			
2020-04-12	82	0			
2020-04-13	82	0			
2020-04-14	87	1			
2020-04-15	92	1			
2020-04-16	92	1			
2020-04-17	100	1			
2020-04-18	102	1			
2020-04-19	104	1			
2020-04-20	104	1			
2020-04-21	104	2			
2020-04-22	106	2			
2020-04-23	107	2			
2020-04-24	108	2			
2020-04-25	110	2			
2020-04-26	112	3			
2020-04-27	113	4			
2020-04-28	118	4			
2020-04-29	117	4			
2020-04-30	118	4			
2020-05-01	121	4			
2020-05-02	128	4			
2020-05-03	129	4			
2020-05-04	130	4			
2020-05-05	136	4			
2020-05-06	137	4			
2020-05-07	140	4			
2020-05-08	146	4			
2020-05-09	153	4			
2020-05-10	155	4			
2020-05-11	158	4			
2020-05-12	174	4			
2020-05-13	202	4			
2020-05-14	215	4			
2020-05-15	240	4			
2020-05-16	263	4			
2020-05-17	265	4			
2020-05-18	266	4			
2020-05-19	274	4			
2020-05-20	283	4			
2020-05-21	292	4			
2020-05-22	297	4			
2020-05-23	297	4			
2020-05-24	300	4			
2020-05-25	300	4			
2020-05-26	302	4			
2020-05-27	305	4			
2020-05-28	307	4			
2020-05-29	307	4			
2020-05-30	307	4			
2020-05-31	313	4			
2020-06-01	314	4			
2020-06-02	316	4			
2020-06-03	322	4			
2020-06-04	327	4			
2020-06-05	336	4			
2020-06-06	343	4			
2020-06-07	343	4			
2020-06-08	343	4			
2020-06-09	360	4			
2020-06-10	365	4			
2020-06-11	373	4			
2020-06-12	389	4			
2020-06-13	404	4			
2020-06-14	405	4			
2020-06-15	405	4			
2020-06-16	432	5			
2020-06-17	463	5			
2020-06-18	495	5			
2020-06-19	562	6			
2020-06-20	627	7			
2020-06-21	681	7			
2020-06-22	719	7			
2020-06-23	835	7			
2020-06-24	910	7			
2020-06-25	1130	7			
2020-06-26	1395	7			
2020-06-27	1623	7			
2020-06-28	1867	7			
2020-06-29	2075	8			
